Download Date :06/18/2023
This is a current view of your account.  The activity displayed may not match your billing statements.
Transaction Date,Post Date,Description,Amount
06/13/2023,06/13/2023,853481255GFRW8XE5 SCOTT HYVER VISIONCARE   SANTA CLARA  CA,$5695.00
06/09/2023,06/09/2023,PYMT CARD SECURITY 800-8154051,$5.03
06/02/2023,06/02/2023,75402054T07KQXG01 MC DONALDS RONDA SANT    BARCELONA    ES,$3.67
06/02/2023,06/02/2023,75402054T07K6L5FE LCCB                     LHOSPITALET  ES,$12.91
06/02/2023,06/02/2023,02709754TA1F8YGRT SQ *PRIMAVERA SOUND SL   BARCELONA    CT,$3.76
06/01/2023,06/01/2023,75413114R0GYMAR67 SUPERMERCADO VIA LAIET   BARCELONA    ES,$11.76
06/01/2023,06/01/2023,75468014R63M425EP PULL AND BEAR            NARON        ES,$75.25
06/01/2023,06/01/2023,02709754RA1F2S7AG SQ *PRIMAVERA SOUND SL   BARCELONA    CT,$11.83
05/31/2023,05/31/2023,75468014P63LG1RF9 RENFE CERCANIAS TNA 08   BARCELONA    ES,$2.58
05/31/2023,05/31/2023,75468014P63LTGAN5 RENFE CERCANIAS TNA 08   BARCELONA    ES,$2.58
05/31/2023,05/31/2023,75260714P07KSPQ1V NEWREST WAGONS LITS FR   PARIS        FR,$15.37
05/31/2023,05/31/2023,15132494PR65W5A0X SM CASINO CS962          PARIS        FR,$7.40
05/31/2023,05/31/2023,15132494PR65W5A27 SM CASINO CS962          PARIS        FR,$10.75
05/31/2023,05/31/2023,05137004R95GRXMHZ GRIBAUDO                 PARIS 9      FR,$10.75
05/31/2023,05/31/2023,05133004P95FLD7Z6 OSSTINA                  PARIS        FR,$134.25
05/31/2023,05/31/2023,85348124P01R9R8PH PAYMENT - THANK YOU,-$681.49
05/29/2023,05/29/2023,75542354M8THNPG98 FFT                      PARIS        FR,$77.35
05/29/2023,05/29/2023,15132494M36PNSPB0 MUSIAM16282STAR2         PARIS        FR,$9.15
05/29/2023,05/29/2023,05130124N95Q3Y1FL RATP                     PARIS        FR,$20.55
05/29/2023,05/29/2023,75139114N687R72XE ETS PUBLIC DU MUSEE DU   PARIS 1      FR,$5.38
05/28/2023,05/28/2023,15136004L8YXE532B RESTAURANT AQUAR         PARIS        FR,$8.61
05/28/2023,05/28/2023,15136004M8YXDL17F PERLE PARMENTIER         PARIS        FR,$8.66
05/28/2023,05/28/2023,75131824M532HY8J8 CULTURESPACES            PARIS 8      FR,$21.41
05/28/2023,05/28/2023,05135064M598NA6Q8 LE CAFE DES VEDE         PARIS        FR,$5.38
05/16/2023,05/16/2023,5548077486132SF6W NORTH PENINSULA PODIAT   SAN BRUNO    CA,$525.00
