Date,Description,Type,Amount,Current balance,Status
2023-07-15,CITY OF SM PARKPAYBYPH,Debit Card,-0.10,0.83,Posted
2023-07-15,CITY OF SM PARKPAYBYPH,Debit Card,-1.25,0.93,Posted
2023-07-12,From Savings - 3552,Deposit,2,2.18,Posted
2023-07-08,CASH APP*ENGAGETM,Debit Card,-105.00,0.18,Posted
2023-07-06,From Savings - 3552,Deposit,10,105.18,Posted
2023-07-06,From Savings - 3552,Deposit,90,95.18,Posted
2023-07-03,Synchrony Bank,Direct Payment,-178,5.18,Posted
2023-07-01,From Savings - 3552,Deposit,178,183.18,Posted
2023-06-30,Interest earned,Interest Earned,0.06,5.18,Posted
2023-06-29,VENMO,Direct Payment,-1814.85,5.12,Posted
2023-06-28,From Savings - 3552,Deposit,1814.85,1819.97,Posted
2023-06-17,From Savings - 3552,Deposit,20,5.12,Posted
2023-06-17,CASH APP*CYANFACE,Debit Card,-20,-14.88,Posted
2023-06-02,AIRALO,Debit Card,-4.50,5.12,Posted
2023-06-01,Synchrony Bank,Direct Payment,-681.49,9.62,Posted
2023-05-31,Interest earned,Interest Earned,0.07,691.11,Posted
2023-05-31,From Savings - 3552,Deposit,690,691.04,Posted
2023-05-23,TCB*MTA METER MTA PBP,Debit Card,-2.25,1.04,Posted
2023-05-22,BEST BUY,Direct Payment,-321.07,3.29,Posted
2023-05-20,From Savings - 3552,Deposit,325,324.36,Posted
2023-05-15,TCB*MTA METER MTA PBP,Debit Card,-3.5,-0.64,Posted
2023-05-15,TCB*MTA METER MTA PBP,Debit Card,-3.25,2.86,Posted
2023-05-15,TCB*MTA METER MTA PBP,Debit Card,-0.5,6.11,Posted
2023-05-15,TCB*MTA METER MTA PBP,Debit Card,-0.75,6.61,Posted
2023-05-15,TCB*MTA METER MTA PBP,Debit Card,-3.5,7.36,Posted
2023-05-15,TCB*MTA METER MTA PBP,Debit Card,-1.75,10.86,Posted
2023-05-14,CITY OF SM PARKPAYBYPH,Debit Card,-0.75,12.61,Posted
2023-05-12,Nintendo CB980593250,Debit Card,-69.99,13.36,Posted
2023-05-10,From Savings - 3552,Deposit,30,83.35,Posted
2023-04-30,Interest earned,Interest Earned,0.06,53.35,Posted
2023-04-30,Cash App,Debit Card,-150.00,53.29,Posted
2023-04-28,From Savings - 3552,Deposit,200,203.29,Posted
2023-04-27,BEST BUY,Direct Payment,-49.32,3.29,Posted
2023-04-26,From Savings - 3552,Deposit,50,52.61,Posted
2023-04-20,CITY OF SM PARKPAYBYPH,Debit Card,-0.10,2.61,Posted
2023-04-20,CITY OF SM PARKPAYBYPH,Debit Card,-0.63,2.71,Posted
2023-04-20,CITY OF SM PARKPAYBYPH,Debit Card,-0.10,3.34,Posted
2023-04-16,To Savings - 3552,Withdrawal,-100,3.44,Posted
2023-04-11,BEST BUY,Direct Payment,-153.1,103.44,Posted
2023-04-10,Mobile Check Deposit,Check Deposit,217.6,256.54,Posted
2023-04-08,TCB*MTA METER MTA PBP,Debit Card,-3.50,38.94,Posted
2023-03-31,Interest earned,Interest Earned,0.27,42.44,Posted
2023-03-20,CASH APP*CYANFACE,Debit Card,-15.00,42.17,Posted
2023-03-20,VENMO,Direct Payment,-141.6,57.17,Posted
2023-03-17,From Savings - 3552,Deposit,141.6,198.77,Posted
2023-03-13,VENMO,Direct Payment,-772.3,57.17,Posted
2023-03-10,From Savings - 3552,Deposit,800,829.47,Posted
2023-03-04,PENINSULA JEWISH COMMU,Debit Card,-146.00,29.47,Posted
2023-03-01,From Savings - 3552,Deposit,150,175.47,Posted
2023-02-28,Interest earned,Interest Earned,0.08,25.47,Posted
2023-02-21,CVS STORE #09940,ATM,-100.00,25.39,Posted
2023-02-21,From Savings - 3552,Deposit,100,125.39,Posted
2023-02-10,CASH APP*KAIYA,Debit Card,-20.00,25.39,Posted
2023-02-10,CASH APP*ROBIN JOSEPH,Debit Card,-20.00,45.39,Posted
2023-02-07,CASH APP*CYANFACE,Debit Card,-55.00,65.39,Posted
2023-02-05,From Savings - 3552,Deposit,50,120.39,Posted
2023-02-05,From Savings - 3552,Deposit,50,70.39,Posted
2023-02-04,PENINSULA JEWISH COMMU,Debit Card,-73.00,20.39,Posted
2023-01-31,Interest earned,Interest Earned,0.19,93.39,Posted
2023-01-30,CASH APP*CYANFACE,Debit Card,-50.00,93.2,Posted
2023-01-28,CITY OF BURLINGAME-PAR,Debit Card,-1.00,143.2,Posted
2023-01-27,Roundup *CITY OF SM PARKPAYBYPH,Roundup,-0.4,144.2,Posted
2023-01-27,Roundup *PENINSULA JEWISH COMMU,Roundup,-0.2,144.6,Posted
2023-01-27,CITY OF SM PARKPAYBYPH,Debit Card,-0.40,144.8,Posted
2023-01-27,PENINSULA JEWISH COMMU,Debit Card,-4.80,145.2,Posted
2023-01-25,From Savings - 3552,Deposit,100,150,Posted
2023-01-25,From Savings - 3552,Deposit,50,50,Posted
2023-01-15,To Emergency Fund Vault,Withdrawal,-253.09,0,Posted
2023-01-13,1435 Burlingame Ave,ATM,-403.00,253.09,Posted
2023-01-13,From Savings - 3552,Deposit,600,656.09,Posted
2023-01-06,VENMO,Direct Payment,-750,56.09,Posted
2023-01-05,From Savings - 3552,Deposit,750,806.09,Posted
2023-01-02,OAKLAND PARKMOBILE PAY,Debit Card,-4.25,56.09,Posted
