Trans. Date,Post Date,Description,Amount,Category
01/01/2024,01/01/2024,"CHATGPT SUBSCRIPTION 4158799686 CA",20.00,"Merchandise"
01/01/2024,01/01/2024,"JFF PUBLICATIONS WILTON MANORSFL",24.99,"Merchandise"
01/01/2024,01/03/2024,"PLANNED PARENTHOOD ACTIO NEW YORK NY",5.00,"Services"
01/01/2024,01/03/2024,"SPOTIFY P286B95411 8777781161 NY",5.99,"Merchandise"
01/02/2024,01/02/2024,"ONEPASS 877-515-9364 MN253067",264.10,"Services"
01/02/2024,01/03/2024,"KRYSTAL AND SAAGAR 2025317527 DCITEM TRANSFERRED FROM PREV ACCOUNT",10.00,"Merchandise"
01/02/2024,01/03/2024,"PADDLE.NET* REALPYTHON 7745236658 NY",29.99,"Merchandise"
01/02/2024,01/03/2024,"TARGET 00011221091 SAN MATEO CA",66.32,"Supermarkets"
01/02/2024,01/03/2024,"VALVE BELLEVUE WA",6.99,"Merchandise"
01/03/2024,01/03/2024,"AUTOMATIC STATEMENT CREDIT",-39.16,"Awards and Rebate Credits"
01/03/2024,01/03/2024,"CCBILL.COM 888-5969279 AZ",3.19,"Merchandise"
01/03/2024,01/03/2024,"CCBILL.COM 888-5969279 AZ",13.39,"Merchandise"
01/03/2024,01/03/2024,"TARGET 00011221091 SAN MATEO CA",97.96,"Supermarkets"
01/04/2024,01/04/2024,"THE BOARDROOM SAN FRANCISCOCA",45.00,"Restaurants"
01/05/2024,01/05/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 1455MMWDW3MLY5A0",15.89,"Merchandise"
01/05/2024,01/05/2024,"DOTHEBAY MORE 5129009058 TXAPPLE PAY ENDING IN 1455",5.00,"Merchandise"
01/05/2024,01/05/2024,"ONEPASS 877-515-9364 MN271924",4.50,"Services"
01/05/2024,01/05/2024,"ONEPASS 877-515-9364 MN283627",5.00,"Services"
01/06/2024,01/06/2024,"CCBILL.COM 888-5969279 AZ",14.87,"Merchandise"
01/06/2024,01/06/2024,"EB RADIOHEAD-KID A LI 801-413-7200 CA",27.13,"Services"
01/06/2024,01/06/2024,"SQ *BLACK BIRD BOOKSTO SAN FRANCISCOCA0001152921513563494106",30.30,"Merchandise"
01/06/2024,01/06/2024,"SQ *TAQUERIA LA CUMBRE SAN FRANCISCOCA0001152921513562719150",15.75,"Restaurants"
01/07/2024,01/07/2024,"A&A GAS BURLINGAME CA",12.81,"Gasoline"
01/07/2024,01/07/2024,"A&A GAS BURLINGAME CA",44.62,"Gasoline"
01/07/2024,01/07/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 1455MMWDWL4YN9A0",9.99,"Merchandise"
01/07/2024,01/07/2024,"POWELL AND MARKET SAN FRANCISCOCA",82.00,"Travel/ Entertainment"
01/07/2024,01/07/2024,"REGENCY BALLROOM TKTS SAN FRANCISCOCA",41.50,"Travel/ Entertainment"
01/07/2024,01/07/2024,"SNACK* SOMI SOMI SAN M 8668682146 CA",4.95,"Restaurants"
01/07/2024,01/07/2024,"SQ *CABLE CAR COFFEE SAN FRAN CA0001152921513566491105",17.63,"Restaurants"
01/07/2024,01/07/2024,"WARFIELD THEATER TKTS SAN FRANCISCOCA",41.95,"Travel/ Entertainment"
01/08/2024,01/08/2024,"AMAZON.COM*TK9MU48R1 AMZN.COM/BILLWA560I5J5H4R6",22.08,"Merchandise"
01/08/2024,01/08/2024,"AMZN MKTP US*TK4CF4252 AMZN.COM/BILLWA33GVMNZWPVC",34.99,"Merchandise"
01/08/2024,01/08/2024,"ATG USA LLC 727-2824429 FL",49.50,"Merchandise"
01/08/2024,01/08/2024,"CCBILL.COM 888-5969279 AZ",12.75,"Merchandise"
01/08/2024,01/08/2024,"FIVE GUYS CA 1370 QSR BURLINGAME CA",15.90,"Restaurants"
01/08/2024,01/08/2024,"MUIR SPACE 4288 MILL VALLEY CA",9.50,"Services"
01/08/2024,01/08/2024,"NOLIMITSCRYO.COM 4156399034 CA",25.00,"Services"
01/08/2024,01/08/2024,"SAFEWAY #1709 MENLO PARK CA",63.44,"Supermarkets"
01/08/2024,01/08/2024,"TM *TICKETMASTER 415-421-8497 CANCA/40-12280",58.85,"Travel/ Entertainment"
01/09/2024,01/09/2024,"CCBILL.COM 888-5969279 AZ",10.62,"Merchandise"
01/09/2024,01/09/2024,"LICKD* TRIAL OVER 07777777777 GBR",15.00,"Merchandise"
01/09/2024,01/09/2024,"TST* 3RD AVENUE SPORTS B SAN MATEO CAAPPLE PAY ENDING IN 1455",16.31,"Restaurants"
01/10/2024,01/10/2024,"60776 - SFO PARKINGCENTR SAN FRANCISCOCA",6.00,"Services"
01/10/2024,01/10/2024,"INTERNET PAYMENT - THANK YOU",-1382.28,"Payments and Credits"
01/10/2024,01/10/2024,"PANDA EXPRESS #907 P 800-877-8988 CA",11.29,"Restaurants"
01/10/2024,01/10/2024,"SQ *ZAREEN'S PALO ALTO PALO ALTO CA0001152921513574979682",54.89,"Restaurants"
01/11/2024,01/11/2024,"MUIR SPACE 4288 MILL VALLEY CA",24.50,"Services"
01/11/2024,01/11/2024,"MUIR WOODS MILL VALLEY CA",68.17,"Merchandise"
01/11/2024,01/11/2024,"SQ *PARK LIFE SAN FRANCISCOCA0001152921513577499645",86.90,"Merchandise"
01/11/2024,01/11/2024,"TST* B STAR SAN FRANCISCOCA00003059015517791735AA",99.31,"Restaurants"
01/12/2024,01/12/2024,"FASTRAK CSC 415-486-8655 CA",25.00,"Travel/ Entertainment"
01/12/2024,01/12/2024,"GHIRARDELLI #138 GCE SAN FRANCISCOCA",47.10,"Merchandise"
01/12/2024,01/12/2024,"TARGET 00011221091 SAN MATEO CA",46.39,"Supermarkets"
01/12/2024,01/12/2024,"TST* ARACELY CAFE SAN FRANCISCOCA00042380015533706218AA",71.05,"Restaurants"
01/13/2024,01/13/2024,"APPLE FRIT* APPLE FRIT 8887072469 CAAPPLE PAY ENDING IN 1455",42.92,"Restaurants"
