Date,Description,Type,Amount,Current balance,Status
2024-12-31,Interest earned,Interest Earned,0.68,1202.43,Posted
2024-12-27,Zelle® Payment from Kenny Thai,Direct Payment,30.00,1201.75,Posted
2024-12-20,DISCOVER CARD,Bill Pay,-500,1171.75,Posted
2024-12-17,STATE FARM RO 27,Direct Payment,-108.56,1671.75,Posted
2024-12-16,Synchrony Bank,Direct Payment,-1131.94,1780.31,Posted
2024-12-13,From Savings - 3552,Deposit,1132,2912.25,Posted
2024-12-13,From Savings - 3552,Deposit,155,1780.25,Posted
2024-12-03,SYNCHRONY BANK,Direct Payment,-460,1625.25,Posted
2024-12-01,From Savings - 3552,Deposit,450,2085.25,Posted
2024-11-30,Interest earned,Interest Earned,0.62,1635.25,Posted
2024-11-19,From Savings - 3552,Deposit,800,1634.63,Posted
2024-11-18,VENMO,Direct Payment,-3000,834.63,Posted
2024-11-18,VENMO,Direct Payment,-1633.74,3834.63,Posted
2024-11-17,Roundup *LIFE CAFE #283,Roundup,-0.75,5468.37,Posted
2024-11-17,LIFE CAFE #283,Debit Card,-9.25,5469.12,Posted
2024-11-16,From Savings - 3552,Deposit,3000,5478.37,Posted
2024-11-16,From Savings - 3552,Deposit,1634,2478.37,Posted
2024-11-15,STATE FARM RO 27,Direct Payment,-108.56,844.37,Posted
2024-11-14,Roundup *LIFE CAFE #283,Roundup,-0.27,952.93,Posted
2024-11-14,LIFE CAFE #283,Debit Card,-14.73,953.2,Posted
2024-11-13,From Savings - 3552,Deposit,155,967.93,Posted
2024-11-06,Roundup *LIFE CAFE #283,Roundup,-0.52,812.93,Posted
2024-11-06,LIFE CAFE #283,Debit Card,-29.48,813.45,Posted
2024-11-04,SYNCHRONY BANK,Direct Payment,-460,842.93,Posted
2024-11-01,From Savings - 3552,Deposit,450,1302.93,Posted
2024-10-31,Interest earned,Interest Earned,0.53,852.93,Posted
2024-10-31,Roundup *SAFEWAY #1547,Roundup,-0.27,852.4,Posted
2024-10-31,SAFEWAY #1547,Debit Card,-66.73,852.67,Posted
2024-10-25,Roundup *TARGET T-1122,Roundup,-0.62,919.4,Posted
2024-10-25,TARGET T-1122,Debit Card,-84.38,920.02,Posted
2024-10-24,STATE FARM RO 08,Direct Payment,-108.56,1004.4,Posted
2024-10-23,Roundup *DBA Subway 52556 5255,Roundup,-0.5,1112.96,Posted
2024-10-23,DBA Subway 52556 5255,Debit Card,-11.50,1113.46,Posted
2024-10-16,DEPT EDUCATION,Direct Payment,-442.73,1124.96,Posted
2024-10-13,From Savings - 3552,Deposit,155,1567.69,Posted
2024-10-03,Roundup *CITY OF SM PARKPAYBYPH,Roundup,-0.82,1412.69,Posted
2024-10-03,CITY OF SM PARKPAYBYPH,Debit Card,-1.18,1413.51,Posted
2024-10-03,SYNCHRONY BANK,Direct Payment,-460,1414.69,Posted
2024-10-01,From Savings - 3552,Deposit,450,1874.69,Posted
2024-10-01,VENMO,Direct Payment,-100,1424.69,Posted
2024-09-30,Interest earned,Interest Earned,0.65,1524.69,Posted
2024-09-23,VENMO,Direct Payment,-20,1524.04,Posted
2024-09-13,From Savings - 3552,Deposit,155,1544.04,Posted
2024-09-09,VENMO,Direct Payment,-1633.74,1389.04,Posted
2024-09-07,From Savings - 3552,Deposit,1633.74,3022.78,Posted
2024-09-01,From Savings - 3552,Deposit,450,1389.04,Posted
2024-08-31,Interest earned,Interest Earned,0.37,939.04,Posted
2024-08-19,VENMO,Deposit,440.82,938.67,Posted
2024-08-19,Synchrony Bank,Direct Payment,-460,497.85,Posted
2024-08-13,Zelle® Payment from Jayelin Lewis,Direct Payment,50.00,957.85,Posted
2024-08-13,From Savings - 3552,Deposit,155,907.85,Posted
2024-08-01,From Savings - 3552,Deposit,450,752.85,Posted
2024-07-31,Interest earned,Interest Earned,0.33,302.85,Posted
2024-07-25,Credit One Bank,Direct Payment,-827.86,302.52,Posted
2024-07-25,From Savings - 3552,Deposit,900,1130.38,Posted
2024-07-25,Zelle® Payment from Sean Lewis,Direct Payment,5.00,230.38,Posted
2024-07-24,WELLS FARGO BANK,Withdrawal,-1600,225.38,Posted
2024-07-23,From Savings - 3552,Deposit,1600,1825.38,Posted
2024-07-22,VENMO,Direct Payment,-2000,225.38,Posted
2024-07-21,From Savings - 3552,Deposit,2000,2225.38,Posted
2024-07-17,Peak Living Prop,Direct Payment,-833.75,225.38,Posted
2024-07-17,"AppFolio, Inc. F",Direct Payment,-2.49,1059.13,Posted
2024-07-15,Synchrony Bank,Direct Payment,-460,1061.62,Posted
2024-07-14,From Savings - 3552,Deposit,500,1521.62,Posted
2024-07-13,From Savings - 3552,Deposit,155,1021.62,Posted
2024-07-09,VENMO,Direct Payment,-1633.74,866.62,Posted
2024-07-08,From Savings - 3552,Deposit,1633.74,2500.36,Posted
2024-07-01,From Savings - 3552,Deposit,450,866.62,Posted
2024-06-30,Interest earned,Interest Earned,0.21,416.62,Posted
2024-06-18,Synchrony Bank,Direct Payment,-460,416.41,Posted
2024-06-17,BEST BUY,Direct Payment,-479.69,876.41,Posted
2024-06-17,BEST BUY,Direct Payment,-155,1356.1,Posted
2024-06-16,From Savings - 3552,Deposit,200,1511.1,Posted
2024-06-16,From Savings - 3552,Deposit,500,1311.1,Posted
2024-06-16,From Savings - 3552,Deposit,460,811.1,Posted
2024-06-13,From Savings - 3552,Deposit,155,351.1,Posted
2024-06-11,DEPT EDUCATION,Direct Payment,-442.73,196.1,Posted
2024-06-01,From Savings - 3552,Deposit,450,638.83,Posted
2024-05-31,Interest earned,Interest Earned,0.18,188.83,Posted
2024-05-20,VENMO,Direct Payment,-1633.74,188.65,Posted
2024-05-18,From Savings - 3552,Deposit,1640,1822.39,Posted
2024-05-15,BEST BUY,Direct Payment,-155,182.39,Posted
2024-05-13,From Savings - 3552,Deposit,155,337.39,Posted
2024-05-09,DEPT EDUCATION,Direct Payment,-442.73,182.39,Posted
2024-05-01,From Savings - 3552,Deposit,450,625.12,Posted
2024-04-30,Interest earned,Interest Earned,0.12,175.12,Posted
2024-04-15,BEST BUY,Direct Payment,-155,175,Posted
2024-04-13,From Savings - 3552,Deposit,155,330,Posted
2024-04-09,DEPT EDUCATION,Direct Payment,-442.73,175,Posted
2024-04-01,From Savings - 3552,Deposit,450,617.73,Posted
2024-03-31,Interest earned,Interest Earned,0.17,167.73,Posted
2024-03-15,BEST BUY,Direct Payment,-155,167.56,Posted
2024-03-13,From Savings - 3552,Deposit,155,322.56,Posted
2024-03-11,From Savings - 3552,Deposit,50,167.56,Posted
2024-03-11,DEPT EDUCATION,Direct Payment,-442.73,117.56,Posted
2024-03-06,VENMO,Direct Payment,-1473.72,560.29,Posted
2024-03-06,VENMO,Direct Payment,-1803.4,2034.01,Posted
2024-03-05,From Savings - 3552,Deposit,1473.72,3837.41,Posted
2024-03-05,From Savings - 3552,Deposit,1803.4,2363.69,Posted
2024-03-01,From Savings - 3552,Deposit,450,560.29,Posted
2024-02-29,Interest earned,Interest Earned,0.21,110.29,Posted
2024-02-23,VENMO,Direct Payment,-816.87,110.08,Posted
2024-02-22,From Savings - 3552,Deposit,900,926.95,Posted
2024-02-20,VENMO,Direct Payment,-50,26.95,Posted
2024-02-19,SP RAISED BY SOCIETY,Debit Card,-43.00,76.95,Posted
2024-02-18,From Savings - 3552,Deposit,50,119.95,Posted
2024-02-17,From Savings - 3552,Deposit,50,69.95,Posted
2024-02-15,BEST BUY,Direct Payment,-155,19.95,Posted
2024-02-13,From Savings - 3552,Deposit,155,174.95,Posted
2024-02-12,VENMO,Direct Payment,-816.87,19.95,Posted
2024-02-12,VENMO,Direct Payment,-816.87,836.82,Posted
2024-02-09,WELLS FARGO BANK NA,Deposit,820,1653.69,Posted
2024-02-09,DEPT EDUCATION,Direct Payment,-442.73,833.69,Posted
2024-02-08,From Savings - 3552,Deposit,820,1276.42,Posted
2024-02-08,VENMO,Direct Payment,-3606.8,456.42,Posted
2024-02-07,From Savings - 3552,Deposit,3610,4063.22,Posted
2024-02-05,VENMO,Direct Payment,-30,453.22,Posted
2024-02-01,From Savings - 3552,Deposit,450,483.22,Posted
2024-01-31,Interest earned,Interest Earned,0.04,33.22,Posted
2024-01-25,VENMO,Direct Payment,-1803.4,33.18,Posted
2024-01-24,From Savings - 3552,Deposit,1804,1836.58,Posted
2024-01-24,BEST BUY,Direct Payment,-155,32.58,Posted
2024-01-23,From Savings - 3552,Deposit,155,187.58,Posted
