Date,Description,Type,Amount,Current balance,Status
2024-12-31,Interest earned,Interest Earned,12.43,5075.54,Posted
2024-12-23,Nationwide,Direct Deposit,2989.48,5063.11,Posted
2024-12-16,DISCOVER,Direct Payment,-2386.27,2073.63,Posted
2024-12-13,To Checking - 8930,Withdrawal,-1132,4459.9,Posted
2024-12-13,To Checking - 8930,Withdrawal,-155,5591.9,Posted
2024-12-10,Nationwide,Direct Deposit,2989.48,5746.9,Posted
2024-12-01,To Checking - 8930,Withdrawal,-450,2757.42,Posted
2024-11-30,Interest earned,Interest Earned,19.2,3207.42,Posted
2024-11-26,DISCOVER,Direct Payment,-3468.67,3188.22,Posted
2024-11-25,Nationwide,Direct Deposit,2904.49,6656.89,Posted
2024-11-19,To Checking - 8930,Withdrawal,-800,3752.4,Posted
2024-11-16,To Checking - 8930,Withdrawal,-3000,4552.4,Posted
2024-11-16,To Checking - 8930,Withdrawal,-1634,7552.4,Posted
2024-11-13,To Checking - 8930,Withdrawal,-155,9186.4,Posted
2024-11-12,Nationwide,Direct Deposit,2989.48,9341.4,Posted
2024-11-04,DISCOVER,Direct Payment,-1646.36,6351.92,Posted
2024-11-01,To Checking - 8930,Withdrawal,-450,7998.28,Posted
2024-10-31,Interest earned,Interest Earned,19.17,8448.28,Posted
2024-10-29,Nationwide,Direct Deposit,2989.48,8429.11,Posted
2024-10-15,Nationwide,Direct Deposit,2989.48,5439.63,Posted
2024-10-15,DISCOVER,Direct Payment,-1961.34,2450.15,Posted
2024-10-13,To Checking - 8930,Withdrawal,-155,4411.49,Posted
2024-10-01,Nationwide,Direct Deposit,2989.48,4566.49,Posted
2024-10-01,To Checking - 8930,Withdrawal,-450,1577.01,Posted
2024-09-30,Interest earned,Interest Earned,19.08,2027.01,Posted
2024-09-30,DISCOVER,Direct Payment,-4363.2,2007.93,Posted
2024-09-17,Nationwide,Direct Deposit,2989.48,6371.13,Posted
2024-09-16,WELLS FARGO BANK,Withdrawal,-500,3381.65,Posted
2024-09-13,To Checking - 8930,Withdrawal,-155,3881.65,Posted
2024-09-07,To Checking - 8930,Withdrawal,-1633.74,4036.65,Posted
2024-09-03,Nationwide,Direct Deposit,2989.48,5670.39,Posted
2024-09-03,DISCOVER,Direct Payment,-3136.83,2680.91,Posted
2024-09-01,To Checking - 8930,Withdrawal,-450,5817.74,Posted
2024-08-31,Interest earned,Interest Earned,22.35,6267.74,Posted
2024-08-26,BOARD OF REGENTS,Direct Payment,-1889,6245.39,Posted
2024-08-20,Nationwide,Direct Deposit,2989.48,8134.39,Posted
2024-08-13,To Checking - 8930,Withdrawal,-155,5144.91,Posted
2024-08-07,WELLS FARGO BANK,Withdrawal,-200,5299.91,Posted
2024-08-06,Nationwide,Direct Deposit,2989.48,5499.91,Posted
2024-08-05,DISCOVER,Direct Payment,-2511.3,2510.43,Posted
2024-08-01,To Checking - 8930,Withdrawal,-450,5021.73,Posted
2024-07-31,Interest earned,Interest Earned,17.66,5471.73,Posted
2024-07-28,WELLS FARGO IFI,Deposit,3500,5454.07,Posted
2024-07-26,Fortiva PMT,Direct Payment,-248.63,1954.07,Posted
2024-07-26,WELLS FARGO BANK,Withdrawal,-433.6,2202.7,Posted
2024-07-25,To Checking - 8930,Withdrawal,-900,2636.3,Posted
2024-07-25,WELLS FARGO BANK,Withdrawal,-300,3536.3,Posted
2024-07-23,To Checking - 8930,Withdrawal,-1600,3836.3,Posted
2024-07-23,Nationwide,Direct Deposit,2989.48,5436.3,Posted
2024-07-22,WELLS FARGO IFI,Direct Payment,-0.31,2446.82,Posted
2024-07-21,WELLS FARGO IFI,Deposit,0.22,2447.13,Posted
2024-07-21,WELLS FARGO IFI,Deposit,0.09,2446.91,Posted
2024-07-21,To Checking - 8930,Withdrawal,-2000,2446.82,Posted
2024-07-14,To Checking - 8930,Withdrawal,-500,4446.82,Posted
2024-07-13,To Checking - 8930,Withdrawal,-155,4946.82,Posted
2024-07-09,Nationwide,Direct Deposit,2989.48,5101.82,Posted
2024-07-08,WELLS FARGO BANK,Withdrawal,-150,2112.34,Posted
2024-07-08,To Checking - 8930,Withdrawal,-1633.74,2262.34,Posted
2024-07-08,DISCOVER,Direct Payment,-2378.13,3896.08,Posted
2024-07-01,WELLS FARGO BANK,Withdrawal,-250,6274.21,Posted
2024-07-01,To Checking - 8930,Withdrawal,-450,6524.21,Posted
2024-06-30,Interest earned,Interest Earned,19.58,6974.21,Posted
2024-06-25,Nationwide,Direct Deposit,3781.68,6954.63,Posted
2024-06-25,WELLS FARGO BANK NA,Withdrawal,-500,3172.95,Posted
2024-06-24,WELLS FARGO BANK,Withdrawal,-1000,3672.95,Posted
2024-06-18,WELLS FARGO BANK NA,Withdrawal,-200,4672.95,Posted
2024-06-16,To Checking - 8930,Withdrawal,-200,4872.95,Posted
2024-06-16,To Checking - 8930,Withdrawal,-500,5072.95,Posted
2024-06-16,To Checking - 8930,Withdrawal,-460,5572.95,Posted
2024-06-13,To Checking - 8930,Withdrawal,-155,6032.95,Posted
2024-06-13,DISCOVER,Direct Payment,-920.18,6187.95,Posted
2024-06-11,Nationwide,Direct Deposit,2989.49,7108.13,Posted
2024-06-05,WELLS FARGO BANK NA,Withdrawal,-600,4118.64,Posted
2024-06-01,To Checking - 8930,Withdrawal,-450,4718.64,Posted
2024-05-31,Interest earned,Interest Earned,12.57,5168.64,Posted
2024-05-28,Nationwide,Direct Deposit,2989.48,5156.07,Posted
2024-05-20,DISCOVER,Direct Payment,-1365.39,2166.59,Posted
2024-05-18,To Checking - 8930,Withdrawal,-1640,3531.98,Posted
2024-05-14,Nationwide,Direct Deposit,2989.48,5171.98,Posted
2024-05-13,To Checking - 8930,Withdrawal,-155,2182.5,Posted
2024-05-06,DISCOVER,Direct Payment,-1229.23,2337.5,Posted
2024-05-01,To Checking - 8930,Withdrawal,-450,3566.73,Posted
2024-04-30,Interest earned,Interest Earned,6.72,4016.73,Posted
2024-04-30,Nationwide,Direct Deposit,2989.48,4010.01,Posted
2024-04-22,WELLS FARGO BANK NA,Withdrawal,-1020,1020.53,Posted
2024-04-19,DISCOVER,Direct Payment,-2026.51,2040.53,Posted
2024-04-16,Nationwide,Direct Deposit,2989.48,4067.04,Posted
2024-04-13,To Checking - 8930,Withdrawal,-155,1077.56,Posted
2024-04-12,WELLS FARGO BANK,Withdrawal,-200,1232.56,Posted
2024-04-05,WELLS FARGO BANK,Withdrawal,-200,1432.56,Posted
2024-04-05,DISCOVER,Direct Payment,-1420.5,1632.56,Posted
2024-04-04,FRANCHISE TAX BD,Deposit,1281,3053.06,Posted
2024-04-03,WELLS FARGO BANK,Withdrawal,-2100,1772.06,Posted
2024-04-02,Nationwide,Direct Deposit,2989.48,3872.06,Posted
2024-04-01,To Checking - 8930,Withdrawal,-450,882.58,Posted
2024-03-31,Interest earned,Interest Earned,4.81,1332.58,Posted
2024-03-21,DISCOVER,Direct Payment,-2373.8,1327.77,Posted
2024-03-19,Nationwide,Direct Deposit,2989.48,3701.57,Posted
2024-03-13,To Checking - 8930,Withdrawal,-155,712.09,Posted
2024-03-11,To Checking - 8930,Withdrawal,-50,867.09,Posted
2024-03-11,DISCOVER,Direct Payment,-541,917.09,Posted
2024-03-05,To Checking - 8930,Withdrawal,-1473.72,1458.09,Posted
2024-03-05,To Checking - 8930,Withdrawal,-1803.4,2931.81,Posted
2024-03-05,Nationwide,Direct Deposit,4149.3,4735.21,Posted
2024-03-01,To Checking - 8930,Withdrawal,-450,585.91,Posted
2024-02-29,Interest earned,Interest Earned,4.34,1035.91,Posted
2024-02-22,To Checking - 8930,Withdrawal,-900,1031.57,Posted
2024-02-22,DISCOVER,Direct Payment,-1263.14,1931.57,Posted
2024-02-20,Nationwide,Direct Deposit,2845.53,3194.71,Posted
2024-02-18,To Checking - 8930,Withdrawal,-50,349.18,Posted
2024-02-17,To Checking - 8930,Withdrawal,-50,399.18,Posted
2024-02-13,IRS  TREAS 310,Deposit,75,449.18,Posted
2024-02-13,To Checking - 8930,Withdrawal,-155,374.18,Posted
2024-02-08,To Checking - 8930,Withdrawal,-820,529.18,Posted
2024-02-08,DISCOVER,Direct Payment,-1166.54,1349.18,Posted
2024-02-07,To Checking - 8930,Withdrawal,-3610,2515.72,Posted
2024-02-06,Nationwide,Direct Deposit,4832.56,6125.72,Posted
2024-02-01,To Checking - 8930,Withdrawal,-450,1293.16,Posted
2024-01-31,Interest earned,Interest Earned,10.14,1743.16,Posted
2024-01-26,DISCOVER,Direct Payment,-2068.37,1733.02,Posted
2024-01-25,WELLS FARGO BANK NA,Deposit,500,3801.39,Posted
2024-01-24,To Checking - 8930,Withdrawal,-1804,3301.39,Posted
2024-01-23,Nationwide,Direct Deposit,2845.53,5105.39,Posted
2024-01-23,To Checking - 8930,Withdrawal,-155,2259.86,Posted
2024-01-16,BOARD OF REGENTS,Direct Payment,-932,2414.86,Posted
2024-01-11,DISCOVER,Direct Payment,-1382.28,3346.86,Posted
2024-01-09,Nationwide,Direct Deposit,2845.53,4729.14,Posted
2024-01-02,DISCOVER,Direct Payment,-1568.14,1883.61,Posted
