Trans. Date,Post Date,Description,Amount,Category
1/1/2024,1/1/2024,CHATGPT SUBSCRIPTION 4158799686 CA,20,Merchandise
1/1/2024,1/1/2024,JFF PUBLICATIONS WILTON MANORSFL,24.99,Merchandise
1/1/2024,1/3/2024,PLANNED PARENTHOOD ACTIO NEW YORK NY,5,Services
1/1/2024,1/3/2024,SPOTIFY P286B95411 8777781161 NY,5.99,Merchandise
1/2/2024,1/2/2024,ONEPASS 877-515-9364 MN253067,264.1,Services
1/2/2024,1/3/2024,KRYSTAL AND SAAGAR 2025317527 DCITEM TRANSFERRED FROM PREV ACCOUNT,10,Merchandise
1/2/2024,1/3/2024,PADDLE.NET* REALPYTHON 7745236658 NY,29.99,Merchandise
1/2/2024,1/3/2024,TARGET 00011221091 SAN MATEO CA,66.32,Supermarkets
1/2/2024,1/3/2024,VALVE BELLEVUE WA,6.99,Merchandise
1/3/2024,1/3/2024,AUTOMATIC STATEMENT CREDIT,-39.16,Awards and Rebate Credits
1/3/2024,1/3/2024,CCBILL.COM 888-5969279 AZ,3.19,Merchandise
1/3/2024,1/3/2024,CCBILL.COM 888-5969279 AZ,13.39,Merchandise
1/3/2024,1/3/2024,TARGET 00011221091 SAN MATEO CA,97.96,Supermarkets
1/4/2024,1/4/2024,THE BOARDROOM SAN FRANCISCOCA,45,Restaurants
1/5/2024,1/5/2024,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 1455MMWDW3MLY5A0,15.89,Merchandise
1/5/2024,1/5/2024,DOTHEBAY MORE 5129009058 TXAPPLE PAY ENDING IN 1455,5,Merchandise
1/5/2024,1/5/2024,ONEPASS 877-515-9364 MN271924,4.5,Services
1/5/2024,1/5/2024,ONEPASS 877-515-9364 MN283627,5,Services
1/6/2024,1/6/2024,CCBILL.COM 888-5969279 AZ,14.87,Merchandise
1/6/2024,1/6/2024,EB RADIOHEAD-KID A LI 801-413-7200 CA,27.13,Services
1/6/2024,1/6/2024,SQ *BLACK BIRD BOOKSTO SAN FRANCISCOCA0001152921513563494106,30.3,Merchandise
1/6/2024,1/6/2024,SQ *TAQUERIA LA CUMBRE SAN FRANCISCOCA0001152921513562719150,15.75,Restaurants
1/7/2024,1/7/2024,A&A GAS BURLINGAME CA,12.81,Gasoline
1/7/2024,1/7/2024,A&A GAS BURLINGAME CA,44.62,Gasoline
1/7/2024,1/7/2024,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 1455MMWDWL4YN9A0,9.99,Merchandise
1/7/2024,1/7/2024,POWELL AND MARKET SAN FRANCISCOCA,82,Travel/ Entertainment
1/7/2024,1/7/2024,REGENCY BALLROOM TKTS SAN FRANCISCOCA,41.5,Travel/ Entertainment
1/7/2024,1/7/2024,SNACK* SOMI SOMI SAN M 8668682146 CA,4.95,Restaurants
1/7/2024,1/7/2024,SQ *CABLE CAR COFFEE SAN FRAN CA0001152921513566491105,17.63,Restaurants
1/7/2024,1/7/2024,WARFIELD THEATER TKTS SAN FRANCISCOCA,41.95,Travel/ Entertainment
1/8/2024,1/8/2024,AMAZON.COM*TK9MU48R1 AMZN.COM/BILLWA560I5J5H4R6,22.08,Merchandise
1/8/2024,1/8/2024,AMZN MKTP US*TK4CF4252 AMZN.COM/BILLWA33GVMNZWPVC,34.99,Merchandise
1/8/2024,1/8/2024,ATG USA LLC 727-2824429 FL,49.5,Merchandise
1/8/2024,1/8/2024,CCBILL.COM 888-5969279 AZ,12.75,Merchandise
1/8/2024,1/8/2024,FIVE GUYS CA 1370 QSR BURLINGAME CA,15.9,Restaurants
1/8/2024,1/8/2024,MUIR SPACE 4288 MILL VALLEY CA,9.5,Services
1/8/2024,1/8/2024,NOLIMITSCRYO.COM 4156399034 CA,25,Services
1/8/2024,1/8/2024,SAFEWAY #1709 MENLO PARK CA,63.44,Supermarkets
1/8/2024,1/8/2024,TM *TICKETMASTER 415-421-8497 CANCA/40-12280,58.85,Travel/ Entertainment
1/9/2024,1/9/2024,CCBILL.COM 888-5969279 AZ,10.62,Merchandise
1/9/2024,1/9/2024,LICKD* TRIAL OVER 07777777777 GBR,15,Merchandise
1/9/2024,1/9/2024,TST* 3RD AVENUE SPORTS B SAN MATEO CAAPPLE PAY ENDING IN 1455,16.31,Restaurants
1/10/2024,1/10/2024,60776 - SFO PARKINGCENTR SAN FRANCISCOCA,6,Services
1/10/2024,1/10/2024,INTERNET PAYMENT - THANK YOU,-1382.28,Payments and Credits
1/10/2024,1/10/2024,PANDA EXPRESS #907 P 800-877-8988 CA,11.29,Restaurants
1/10/2024,1/10/2024,SQ *ZAREEN'S PALO ALTO PALO ALTO CA0001152921513574979682,54.89,Restaurants
1/11/2024,1/11/2024,MUIR SPACE 4288 MILL VALLEY CA,24.5,Services
1/11/2024,1/11/2024,MUIR WOODS MILL VALLEY CA,68.17,Merchandise
1/11/2024,1/11/2024,SQ *PARK LIFE SAN FRANCISCOCA0001152921513577499645,86.9,Merchandise
1/11/2024,1/11/2024,TST* B STAR SAN FRANCISCOCA00003059015517791735AA,99.31,Restaurants
1/12/2024,1/12/2024,FASTRAK CSC 415-486-8655 CA,25,Travel/ Entertainment
1/12/2024,1/12/2024,GHIRARDELLI #138 GCE SAN FRANCISCOCA,47.1,Merchandise
1/12/2024,1/12/2024,TARGET 00011221091 SAN MATEO CA,46.39,Supermarkets
1/12/2024,1/12/2024,TST* ARACELY CAFE SAN FRANCISCOCA00042380015533706218AA,71.05,Restaurants
1/13/2024,1/13/2024,APPLE FRIT* APPLE FRIT 8887072469 CAAPPLE PAY ENDING IN 1455,42.92,Restaurants
1/13/2024,1/13/2024,TARGET 00011221091 SAN MATEO CA,42.64,Supermarkets
1/14/2024,1/14/2024,IN-N-OUT MILLBRAE MILLBRAE CA01467P,33.41,Restaurants
1/14/2024,1/14/2024,SAN FRANCISCO BOTANICAL SAN FRANCISCOCA,45,Services
1/15/2024,1/15/2024,CAFE AT MOUNTAIN VIEW: G MOUNTAIN VIEWCA,9.28,Restaurants
1/15/2024,1/15/2024,LA FITNESS 949-255-8100 CA,220,Travel/ Entertainment
1/15/2024,1/15/2024,SQ *PALMETTO SUPERFOOD BURLINGAME CA0001152921513588761229,25.88,Restaurants
1/15/2024,1/15/2024,TARGET 00011221091 SAN MATEO CA,81.8,Supermarkets
1/16/2024,1/16/2024,DD *TEAPLUSNOODLES 6506819470 CA,71.34,Restaurants
1/16/2024,1/16/2024,EXXONMOBIL SAN FRANCISCOCA,13.73,Gasoline
1/16/2024,1/16/2024,EXXONMOBIL SAN FRANCISCOCA,47.01,Gasoline
1/16/2024,1/16/2024,SQ *BLACK BIRD BOOKSTO SAN FRANCISCOCA0001152921513591984154,69.51,Merchandise
1/16/2024,1/16/2024,STATE FARM INSURANCE 800-956-6310 ILITEM TRANSFERRED FROM PREV ACCOUNT,90.83,Merchandise
1/17/2024,1/17/2024,JFF PUBLICATIONS WILTON MANORSFL,10.99,Merchandise
1/17/2024,1/17/2024,SAFEWAY #1547 BURLINGAME CA,41.28,Supermarkets
1/18/2024,1/18/2024,TARGET 00011221091 SAN MATEO CA,48.48,Supermarkets
1/19/2024,1/19/2024,665 - DISTRICT MARKET SAN FRANCISCOCA01955P,11.45,Merchandise
1/19/2024,1/19/2024,CARBON HEALTH 4152002133 CA,20.16,Medical Services
1/19/2024,1/19/2024,HUDSONNEWS ST1104 DENVER CO,9.57,Merchandise
1/19/2024,1/19/2024,SARA LEE DENVER CO,15.93,Restaurants
1/19/2024,1/19/2024,TST* AMOURA CAFE SFO SOUTH SAN FRACA00107565015631300789AA,20.07,Restaurants
1/19/2024,1/19/2024,UNITED AIRLINES 18004214655 TX,35,Travel/ Entertainment
1/20/2024,1/20/2024,DUNKIN #362811 TULSA OK,11.9,Restaurants
1/20/2024,1/20/2024,TARGET 00000190091 TULSA OK,156.57,Supermarkets
1/20/2024,1/20/2024,UNITED AIRLINES 18004214655 TXAPPLE PAY ENDING IN 1455,35,Travel/ Entertainment
1/21/2024,1/21/2024,GIORDANO'S PRUDENTIAL CHICAGO IL02110P,45.04,Restaurants
1/21/2024,1/21/2024,HUDSONNEWS ST862 DES PLAINES IL,16.27,Merchandise
1/21/2024,1/21/2024,OAKLEY B107 CHICAGO IL,86.01,Medical Services
1/21/2024,1/21/2024,TULSA AIRPORT TULSA OK,14.6,Restaurants
1/22/2024,1/22/2024,AMAZON.COM*R05GT90R0 AMZN.COM/BILLWAKUEGRMXXPE5,22.08,Merchandise
1/24/2024,1/24/2024,SQ *PARK LIFE SAN FRANCISCOCA0001152921513614475959,65.18,Merchandise
1/24/2024,1/24/2024,TARGET 00011221091 SAN MATEO CAAPPLE PAY ENDING IN 1455,42.17,Supermarkets
1/25/2024,1/25/2024,INTERNET PAYMENT - THANK YOU,-2068.37,Payments and Credits
1/25/2024,1/25/2024,TST* LETS ROLL ICE CRE 415-999-9882 CA00097960015707478344AA,10,Restaurants
1/26/2024,1/26/2024,CCBILL.COM 888-5969279 AZ,8.49,Merchandise
1/27/2024,1/27/2024,ADOBE INC. 408-536-6000 CA,29.99,Merchandise
1/27/2024,1/27/2024,ITOYA TOPDRAWER-PALO ALT PALO ALTO CA,69.76,Merchandise
1/27/2024,1/27/2024,JOE THE JUICE NY BURLINGAME CA,17.99,Restaurants
1/27/2024,1/27/2024,TST* SUNRIGHT TEA STUDIO SAN JOSE CA,14.49,Restaurants
1/28/2024,1/28/2024,SQ *BLUE OAK BREWING C SAN CARLOS CA0001152921513628299936,12.6,Restaurants
1/28/2024,1/28/2024,SQ *BLUE OAK BREWING C SAN CARLOS CA0001152921513628390332,12.6,Restaurants
1/28/2024,1/28/2024,SQ *OFF THE GRID SAN FRANCISCOCAAPPLE PAY ENDING IN 14550001152921513628124415,35.35,Restaurants
1/28/2024,1/28/2024,TARGET 00011221091 SAN MATEO CA,99.78,Supermarkets
1/30/2024,1/30/2024,EXPLOSIONS IN THE SKY 6502396947 TX,35,Merchandise
1/30/2024,1/30/2024,SQ *GAI CHICKEN AND RI SAN FRANCISCOCA0001152921513633686044,5.97,Restaurants
1/31/2024,1/31/2024,JFF PUBLICATIONS WILTON MANORSFL,25.99,Merchandise
1/31/2024,1/31/2024,SQ *GAI CHICKEN AND RI GOSQ.COM CAAPPLE PAY ENDING IN 14550001152921513633626927,15.64,Restaurants
2/1/2024,2/1/2024,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 1455,31.75,Merchandise
2/1/2024,2/1/2024,CHATGPT SUBSCRIPTION 4158799686 CA,20,Merchandise
