Date,Description,Type,Amount,Current balance,Status
9/1/2024,From Savings - 3552,Deposit,450,1389.04,Posted
9/7/2024,From Savings - 3552,Deposit,1633.74,3022.78,Posted
9/9/2024,VENMO,Direct Payment,-1633.74,1389.04,Posted
9/13/2024,From Savings - 3552,Deposit,155,1544.04,Posted
9/23/2024,VENMO,Direct Payment,-20,1524.04,Posted
9/30/2024,Interest earned,Interest Earned,0.65,1524.69,Posted
10/1/2024,From Savings - 3552,Deposit,450,1874.69,Posted
10/1/2024,VENMO,Direct Payment,-100,1424.69,Posted
10/3/2024,Roundup *CITY OF SM PARKPAYBYPH,Roundup,-0.82,1412.69,Posted
10/3/2024,CITY OF SM PARKPAYBYPH,Debit Card,-1.18,1413.51,Posted
10/3/2024,SYNCHRONY BANK,Direct Payment,-460,1414.69,Posted
10/13/2024,From Savings - 3552,Deposit,155,1567.69,Posted
10/16/2024,DEPT EDUCATION,Direct Payment,-442.73,1124.96,Posted
10/23/2024,Roundup *DBA Subway 52556 5255,Roundup,-0.5,1112.96,Posted
10/23/2024,DBA Subway 52556 5255,Debit Card,-11.5,1113.46,Posted
10/24/2024,STATE FARM RO 08,Direct Payment,-108.56,1004.4,Posted
10/25/2024,Roundup *TARGET T-1122,Roundup,-0.62,919.4,Posted
10/25/2024,TARGET T-1122,Debit Card,-84.38,920.02,Posted
10/31/2024,Interest earned,Interest Earned,0.53,852.93,Posted
10/31/2024,Roundup *SAFEWAY #1547,Roundup,-0.27,852.4,Posted
10/31/2024,SAFEWAY #1547,Debit Card,-66.73,852.67,Posted
11/1/2024,From Savings - 3552,Deposit,450,1302.93,Posted
11/4/2024,SYNCHRONY BANK,Direct Payment,-460,842.93,Posted
11/6/2024,Roundup *LIFE CAFE #283,Roundup,-0.52,812.93,Posted
11/6/2024,LIFE CAFE #283,Debit Card,-29.48,813.45,Posted
11/13/2024,From Savings - 3552,Deposit,155,967.93,Posted
11/14/2024,Roundup *LIFE CAFE #283,Roundup,-0.27,952.93,Posted
11/14/2024,LIFE CAFE #283,Debit Card,-14.73,953.2,Posted
11/15/2024,STATE FARM RO 27,Direct Payment,-108.56,844.37,Posted
11/16/2024,From Savings - 3552,Deposit,3000,5478.37,Posted
11/16/2024,From Savings - 3552,Deposit,1634,2478.37,Posted
11/17/2024,Roundup *LIFE CAFE #283,Roundup,-0.75,5468.37,Posted
11/17/2024,LIFE CAFE #283,Debit Card,-9.25,5469.12,Posted
11/18/2024,VENMO,Direct Payment,-3000,834.63,Posted
11/18/2024,VENMO,Direct Payment,-1633.74,3834.63,Posted
11/19/2024,From Savings - 3552,Deposit,800,1634.63,Posted
11/30/2024,Interest earned,Interest Earned,0.62,1635.25,Posted
12/1/2024,From Savings - 3552,Deposit,450,2085.25,Posted
12/3/2024,SYNCHRONY BANK,Direct Payment,-460,1625.25,Posted
12/13/2024,From Savings - 3552,Deposit,1132,2912.25,Posted
12/13/2024,From Savings - 3552,Deposit,155,1780.25,Posted
12/16/2024,Synchrony Bank,Direct Payment,-1131.94,1780.31,Posted
12/17/2024,STATE FARM RO 27,Direct Payment,-108.56,1671.75,Posted
12/20/2024,DISCOVER CARD,Bill Pay,-500,1171.75,Posted
