Date,Description,Type,Amount,Current balance,Status
9/1/2024,To Checking - 8930,Withdrawal,-450,5817.74,Posted
9/3/2024,Nationwide,Direct Deposit,2989.48,5670.39,Posted
9/3/2024,DISCOVER,Direct Payment,-3136.83,2680.91,Posted
9/7/2024,To Checking - 8930,Withdrawal,-1633.74,4036.65,Posted
9/13/2024,To Checking - 8930,Withdrawal,-155,3881.65,Posted
9/16/2024,WELLS FARGO BANK,Withdrawal,-500,3381.65,Posted
9/17/2024,Nationwide,Direct Deposit,2989.48,6371.13,Posted
9/30/2024,Interest earned,Interest Earned,19.08,2027.01,Posted
9/30/2024,DISCOVER,Direct Payment,-4363.2,2007.93,Posted
10/1/2024,Nationwide,Direct Deposit,2989.48,4566.49,Posted
10/1/2024,To Checking - 8930,Withdrawal,-450,1577.01,Posted
10/13/2024,To Checking - 8930,Withdrawal,-155,4411.49,Posted
10/15/2024,Nationwide,Direct Deposit,2989.48,5439.63,Posted
10/15/2024,DISCOVER,Direct Payment,-1961.34,2450.15,Posted
10/29/2024,Nationwide,Direct Deposit,2989.48,8429.11,Posted
10/31/2024,Interest earned,Interest Earned,19.17,8448.28,Posted
11/1/2024,To Checking - 8930,Withdrawal,-450,7998.28,Posted
11/4/2024,DISCOVER,Direct Payment,-1646.36,6351.92,Posted
11/12/2024,Nationwide,Direct Deposit,2989.48,9341.4,Posted
11/13/2024,To Checking - 8930,Withdrawal,-155,9186.4,Posted
11/16/2024,To Checking - 8930,Withdrawal,-3000,4552.4,Posted
11/16/2024,To Checking - 8930,Withdrawal,-1634,7552.4,Posted
11/19/2024,To Checking - 8930,Withdrawal,-800,3752.4,Posted
11/25/2024,Nationwide,Direct Deposit,2904.49,6656.89,Posted
11/26/2024,DISCOVER,Direct Payment,-3468.67,3188.22,Posted
11/30/2024,Interest earned,Interest Earned,19.2,3207.42,Posted
12/1/2024,To Checking - 8930,Withdrawal,-450,2757.42,Posted
12/10/2024,Nationwide,Direct Deposit,2989.48,5746.9,Posted
12/13/2024,To Checking - 8930,Withdrawal,-1132,4459.9,Posted
12/13/2024,To Checking - 8930,Withdrawal,-155,5591.9,Posted
12/16/2024,DISCOVER,Direct Payment,-2386.27,2073.63,Posted
