Trans. Date,Post Date,Description,Amount,Category,Year
3/2/2021,3/3/2021,SPOTIFY P13AFFEFC5 8777781161 NY,9.99,Merchandise,2021
3/4/2021,3/4/2021,STATE FARM INSURANCE 800-956-6310 IL,91.78,Services,2021
3/5/2021,3/5/2021,PAYPAL *INTERACTIVE 402-935-7733 CA,350,Services,2021
3/6/2021,3/6/2021,MELLOW MUSHROOM RICHMOND VA00637R,70,Restaurants,2021
3/7/2021,3/7/2021,PP*GOOGLE GOOGLE YOUTUB 402-935-7733 CA,1,Merchandise,2021
3/7/2021,3/7/2021,PP*GOOGLE YOUTUBE SUBSC 402-935-7733 CA,1,Merchandise,2021
3/7/2021,3/7/2021,WALMART SC 07032 HENRICO VA,90.38,Merchandise,2021
3/7/2021,3/8/2021,PP*GOOGLE GOOGLE YOUTUB 4029357733 CA,-1,Payments and Credits,2021
3/7/2021,3/8/2021,PP*GOOGLE YOUTUBE SUBSC 4029357733 CA,-1,Payments and Credits,2021
3/8/2021,3/8/2021,BOTTOMS UP PIZZA RICHMOND VA,55,Restaurants,2021
3/9/2021,3/9/2021,TAKE 5 #232 RICHMOND VA,86.17,Automotive,2021
3/9/2021,3/9/2021,WALMART SC 03885 RICHMOND VA,18.34,Merchandise,2021
3/9/2021,3/9/2021,WALMART SC 07032 HENRICO VA,3.99,Merchandise,2021
3/10/2021,3/10/2021,FIREHOUSE SUBS 0302 QSR ALEXANDRIA VA,13.45,Restaurants,2021
3/10/2021,3/10/2021,LYFT *RIDE WED 1PM 855-865-9553 CA,28.3,Travel/ Entertainment,2021
3/10/2021,3/10/2021,LYFT *RIDE WED 3PM 855-865-9553 CA,33.74,Travel/ Entertainment,2021
3/10/2021,3/10/2021,MCDONALD'S F20505 FALLS CHURCH VA,9.19,Restaurants,2021
3/10/2021,3/10/2021,MICRO CENTER FAIRFAX FAIRFAX VA,21.18,Merchandise,2021
3/10/2021,3/10/2021,MICRO CENTER FAIRFAX FAIRFAX VA,37.07,Merchandise,2021
3/10/2021,3/10/2021,PAYPAL *STEAM GAMES 402-935-7733 CA,19.79,Merchandise,2021
3/11/2021,3/11/2021,EXXONMOBIL RICHMOND VA,26.45,Gasoline,2021
3/11/2021,3/11/2021,WALMART SC 03626 WINSTON SALEMNC,15.66,Merchandise,2021
3/12/2021,3/12/2021,APPLE.COM/BILL 111-111-1111 CAAPPLE PAY ENDING IN 4775,14.99,Merchandise,2021
3/12/2021,3/12/2021,INTERNET PAYMENT - THANK YOU,-1160.38,Payments and Credits,2021
3/12/2021,3/12/2021,PANDA EXPRESS #2551 GLEN ALLEN VA,11,Restaurants,2021
3/12/2021,3/12/2021,PAYPAL *VIZMEDIALLC 888-221-1161 CA,1.99,Merchandise,2021
3/12/2021,3/12/2021,SHEETZ 245300024539498 WINSTON SALEMNC,19.99,Gasoline,2021
3/13/2021,3/13/2021,AMTRAK MOBILE 202-906-3000 DCAPPLE PAY ENDING IN 4775,17,Travel/ Entertainment,2021
3/13/2021,3/13/2021,HARDEES 2401 SOUTH HILL VA,10.17,Restaurants,2021
3/13/2021,3/13/2021,PAYPAL *STEAM GAMES 402-935-7733 CA,5,Merchandise,2021
3/14/2021,3/14/2021,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4775MMW4FQTX7LA0,79.99,Merchandise,2021
3/14/2021,3/14/2021,EXXONMOBIL DINWIDDIE VA,7.54,Gasoline,2021
3/14/2021,3/14/2021,EXXONMOBIL DINWIDDIE VA,26.08,Gasoline,2021
3/14/2021,3/14/2021,PAYPAL *FUBOTV 402-935-7733 CA,75.98,Services,2021
3/14/2021,3/14/2021,T-MOBILE PAYMENTS 800-937-8997 WAAPPLE PAY ENDING IN 4775T-MOBILE PAYMENTS,86.25,Services,2021
3/15/2021,3/15/2021,"FERSGUIDE, LLC GLEN ALLEN VA",20,Services,2021
3/16/2021,3/16/2021,ALDI 80007 RICHMOND VA,30.34,Supermarkets,2021
3/17/2021,3/17/2021,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-14.05,Awards and Rebate Credits,2021
3/17/2021,3/17/2021,INTERNET PAYMENT - THANK YOU,-471.27,Payments and Credits,2021
3/19/2021,3/19/2021,INTERNET PAYMENT - THANK YOU,-50.34,Payments and Credits,2021
3/19/2021,3/19/2021,SKRIMP SHACK HENRICO VA,24.75,Restaurants,2021
3/19/2021,3/19/2021,WHOLEFDS WBS#10598 RICHMOND VA,86.57,Supermarkets,2021
3/20/2021,3/20/2021,AMTRAK NRTHEAST CAFE Q12 WASHINGTON DC,10.5,Restaurants,2021
3/20/2021,3/20/2021,MTA*NYCT PAYGO NEW YORK NYAPPLE PAY ENDING IN 4775004478427258,2.75,Travel/ Entertainment,2021
3/20/2021,3/20/2021,MTA*NYCT PAYGO NEW YORK NYAPPLE PAY ENDING IN 4775004478446331,2.75,Travel/ Entertainment,2021
3/20/2021,3/20/2021,MTA*NYCT PAYGO NEW YORK NYAPPLE PAY ENDING IN 4775004478908990,2.75,Travel/ Entertainment,2021
3/20/2021,3/20/2021,WWW.WOLFRAMALPHA.COM 8009653726 IL,6.99,Merchandise,2021
3/21/2021,3/21/2021,DUANE READE #16555 NEW YORK NY,27.76,Merchandise,2021
3/21/2021,3/21/2021,KINGSISLE *PIRATE101 512-623-5983 TX0009FR6Y00000000000000,9.95,Merchandise,2021
3/21/2021,3/21/2021,PP*GOOGLE GOOGLE YOUTUB 402-935-7733 CA,64.99,Merchandise,2021
3/21/2021,3/21/2021,PP*PP ROKU FOR CRUNCHYR 402-935-7733 CA,7.99,Services,2021
3/23/2021,3/23/2021,MTA*NYCT PAYGO NEW YORK NYAPPLE PAY ENDING IN 4775004486762590,2.75,Travel/ Entertainment,2021
3/23/2021,3/23/2021,NEW YORK KIMCHI NEW YORK NY,14.1,Restaurants,2021
3/25/2021,3/25/2021,DUANE READE #14112 NEW YORK NY,16.94,Merchandise,2021
3/25/2021,3/25/2021,FIVE GUYS-NY #1111 NEW YORK NY,16.69,Restaurants,2021
3/25/2021,3/25/2021,WARBY PARKER 8884927297 NY,120,Medical Services,2021
3/26/2021,3/26/2021,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4775MMW4J0NDZNA0,14.99,Merchandise,2021
