Trans. Date,Post Date,Description,Amount,Category
1/1/2023,1/1/2023,SPOTIFY P1FEF894B5 8777781161 NY,4.99,Merchandise
1/1/2023,1/3/2023,NETFLIX.COM NETFLIX.COM CAITEM TRANSFERRED FROM PREV ACCOUNT,10.59,Merchandise
1/1/2023,1/3/2023,SAFEWAY #1547 BURLINGAME CA,34.46,Supermarkets
1/2/2023,1/3/2023,KRYSTAL AND SAAGAR 2025317527 DCITEM TRANSFERRED FROM PREV ACCOUNT,10,Merchandise
1/2/2023,1/3/2023,OBSIDIAN.MD 2262203323 CAN,10,Merchandise
1/3/2023,1/3/2023,A PLUS DENTAL CENTER - S SAN MATEO CA,549.6,Medical Services
1/3/2023,1/3/2023,AMAZON.COM*7H1T34W33 AMZN.COM/BILLWA7CGLY7QDYF3,42.12,Merchandise
1/3/2023,1/3/2023,AUTOMATIC STATEMENT CREDIT,-41.41,Awards and Rebate Credits
1/3/2023,1/3/2023,CAMINO PETROLEUM S SAN FRANCISCA,40.96,Gasoline
1/3/2023,1/3/2023,GOOGLE *YT PRIMETIME G.CO/HELPPAY#CAP0OW57KF,15.89,Services
1/3/2023,1/3/2023,TACO BELL 30785 SOUTH SAN FRACA,7.13,Restaurants
1/3/2023,1/3/2023,WALGREENS #3346 S SAN FRAN CA,27.15,Merchandise
1/4/2023,1/4/2023,COURSRA5IM7YPM1EY6M1D 650-963-9884 CA,49,Education
1/4/2023,1/4/2023,EXTRA SPACE 1461 BURLINGAME CA,241.6,Services
1/4/2023,1/4/2023,STATE FARM INSURANCE 800-956-6310 ILITEM TRANSFERRED FROM PREV ACCOUNT,90.09,Merchandise
1/5/2023,1/5/2023,AMAZON.COM*533DL0GN3 AMZN.COM/BILLWA656UQI8895R,13.85,Merchandise
1/5/2023,1/5/2023,AMZN MKTP US*RZ4YB1HY3 AMZN.COM/BILLWA2IAOP636RTD,54.8,Merchandise
1/5/2023,1/5/2023,SQ *LOVE BURN CHICKEN SOUTH SAN FRACA0001152921512348130249,36.26,Restaurants
1/6/2023,1/6/2023,APPLE.COM/BILL 111-111-1111 CA,9.99,Merchandise
1/6/2023,1/6/2023,LYFT *2 RIDES 01-04 855-865-9553 CAITEM TRANSFERRED FROM PREV ACCOUNT,24.59,Merchandise
1/7/2023,1/7/2023,SEE TICKETS *FRED ARMISE 323-908-0607 CASEE TICKETS *FRED ARMISE,102.02,Travel/ Entertainment
1/7/2023,1/7/2023,"SQ *HILARY CHIEM, O.D. SAN MATEO CA0001152921512353344153",106.5,Medical Services
1/8/2023,1/8/2023,LYFT *2 RIDES 01-07 855-865-9553 CAITEM TRANSFERRED FROM PREV ACCOUNT,28.67,Merchandise
1/9/2023,1/9/2023,AMZN MKTP US*O74QU7HY3 AMZN.COM/BILLWA77RIRA85W99,9.86,Merchandise
1/9/2023,1/9/2023,AMZN MKTP US*P98A92243 AMZN.COM/BILLWA1F2157UKMEK,32.88,Merchandise
1/9/2023,1/9/2023,GOOGLE *YOUTUBE TV G.CO/HELPPAY#CAP0OFLGPQ,64.99,Services
1/9/2023,1/9/2023,STEAM PURCHASE 425-952-2985 WA,29.99,Travel/ Entertainment
1/10/2023,1/10/2023,LYFT *1 RIDE 01-08 855-865-9553 CAITEM TRANSFERRED FROM PREV ACCOUNT,11.99,Merchandise
1/10/2023,1/10/2023,PANDA EXPRESS #907 P 800-877-8988 CA,10.85,Restaurants
1/11/2023,1/11/2023,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 1455MMWBZ5629BA0,15.89,Merchandise
1/11/2023,1/11/2023,EB OPEN MIKE EAGLEES 801-413-7200 CA,24.97,Services
1/11/2023,1/11/2023,INTERNET PAYMENT - THANK YOU,-552.53,Payments and Credits
1/11/2023,1/11/2023,TRAVEL GUARD GROUP INC 877-934-8308 WI,21.91,Services
1/11/2023,1/11/2023,UNITED AIRLINES 18004214655 TX,337.1,Travel/ Entertainment
1/12/2023,1/12/2023,SAFEWAY #1547 BURLINGAME CA,64.82,Supermarkets
1/13/2023,1/13/2023,CAFFE CENTRAL BURLINGAME CA,27.05,Restaurants
1/15/2023,1/15/2023,PAYPAL *CRUNCHYROLL 402-935-7733 CA,7.99,Services
1/15/2023,1/15/2023,WALGREENS #0625 MILLBRAE CA,46.63,Merchandise
1/17/2023,1/17/2023,SHELL57444215701 SAN MATEO CA,45.28,Gasoline
1/17/2023,1/17/2023,SPORTSLINE 888-508-3055 CA,24.99,Merchandise
1/17/2023,1/17/2023,TMOBILE*AUTO PAY 800-937-8997 WAITEM TRANSFERRED FROM PREV ACCOUNT,111.63,Merchandise
1/19/2023,1/19/2023,PANDA EXPRESS #907 P 800-877-8988 CA,10.85,Restaurants
1/20/2023,1/20/2023,INTERNET PAYMENT - THANK YOU,-1000,Payments and Credits
1/20/2023,1/20/2023,UNITED AIRLINES 18004214655 TXAPPLE PAY ENDING IN 1455,372.8,Travel/ Entertainment
1/21/2023,1/21/2023,KATSU KEI* KEI KATSUCO 8668646522 VA,150,Travel/ Entertainment
1/21/2023,1/21/2023,LEANPUB 6049168017 CAN,14.99,Merchandise
1/22/2023,1/22/2023,AMZN MKTP US*OJ2B68JK3 AMZN.COM/BILLWA6GMHPXEC3MX,10.4,Merchandise
1/22/2023,1/22/2023,CRACKED & BATTERED LLC 540-898-4343 CAAPPLE PAY ENDING IN 1455,43.1,Restaurants
1/22/2023,1/22/2023,TM *SACRAMENTO KINGS 800-653-8000 CANCA/22-39690,66.52,Travel/ Entertainment
1/22/2023,1/22/2023,TST* COPENHAGEN BAKERY BURLINGAME CA,23.04,Restaurants
1/23/2023,1/23/2023,AMAZON.COM*587BA3543 AMZN.COM/BILLWA1VXP8IG0UT8,13.85,Merchandise
1/23/2023,1/23/2023,"FUZE TECHNOLOGY, INC. 2134516667 CA",1,Merchandise
1/23/2023,1/23/2023,HOUSE KITCHEN AND BAR SACRAMENTO CA,25.12,Restaurants
1/23/2023,1/23/2023,LGND GOLDEN 1 CONCESSION SACRAMENTO CA,5.44,Restaurants
1/23/2023,1/23/2023,PAYPAL *PARKMOBILE 402-935-7733 CA,12.35,Travel/ Entertainment
1/23/2023,1/23/2023,SHELL57444215701 SAN MATEO CA,46.25,Gasoline
1/24/2023,1/24/2023,02738 PF SAN BRUNO CA SAN BRUNO CA,1.75,Travel/ Entertainment
1/24/2023,1/24/2023,SAFEWAY #1547 BURLINGAME CA,97.08,Supermarkets
