Trans. Date,Post Date,Description,Amount,Category
01/01/2023,01/01/2023,"SPOTIFY P1FEF894B5 8777781161 NY",4.99,"Merchandise"
01/01/2023,01/03/2023,"NETFLIX.COM NETFLIX.COM CAITEM TRANSFERRED FROM PREV ACCOUNT",10.59,"Merchandise"
01/01/2023,01/03/2023,"SAFEWAY #1547 BURLINGAME CA",34.46,"Supermarkets"
01/02/2023,01/03/2023,"KRYSTAL AND SAAGAR 2025317527 DCITEM TRANSFERRED FROM PREV ACCOUNT",10.00,"Merchandise"
01/02/2023,01/03/2023,"OBSIDIAN.MD 2262203323 CAN",10.00,"Merchandise"
01/03/2023,01/03/2023,"A PLUS DENTAL CENTER - S SAN MATEO CA",549.60,"Medical Services"
01/03/2023,01/03/2023,"AMAZON.COM*7H1T34W33 AMZN.COM/BILLWA7CGLY7QDYF3",42.12,"Merchandise"
01/03/2023,01/03/2023,"AUTOMATIC STATEMENT CREDIT",-41.41,"Awards and Rebate Credits"
01/03/2023,01/03/2023,"CAMINO PETROLEUM S SAN FRANCISCA",40.96,"Gasoline"
01/03/2023,01/03/2023,"GOOGLE *YT PRIMETIME G.CO/HELPPAY#CAP0OW57KF",15.89,"Services"
01/03/2023,01/03/2023,"TACO BELL 30785 SOUTH SAN FRACA",7.13,"Restaurants"
01/03/2023,01/03/2023,"WALGREENS #3346 S SAN FRAN CA",27.15,"Merchandise"
01/04/2023,01/04/2023,"COURSRA5IM7YPM1EY6M1D 650-963-9884 CA",49.00,"Education"
01/04/2023,01/04/2023,"EXTRA SPACE 1461 BURLINGAME CA",241.60,"Services"
01/04/2023,01/04/2023,"STATE FARM INSURANCE 800-956-6310 ILITEM TRANSFERRED FROM PREV ACCOUNT",90.09,"Merchandise"
01/05/2023,01/05/2023,"AMAZON.COM*533DL0GN3 AMZN.COM/BILLWA656UQI8895R",13.85,"Merchandise"
01/05/2023,01/05/2023,"AMZN MKTP US*RZ4YB1HY3 AMZN.COM/BILLWA2IAOP636RTD",54.80,"Merchandise"
