Date,Description,Type,Amount,Current balance,Status
1/5/2023,To Checking - 8930,Withdrawal,-750,398.39,Posted
1/10/2023,Nationwide,Direct Deposit,3066.58,3464.97,Posted
1/12/2023,DISCOVER,Direct Payment,-552.53,2912.44,Posted
1/13/2023,To Checking - 8930,Withdrawal,-600,2312.44,Posted
1/15/2023,From Emergency Fund Vault,Deposit,253.09,2565.53,Posted
1/17/2023,BOARD OF REGENTS,Direct Payment,-932,1633.53,Posted
1/23/2023,DISCOVER,Direct Payment,-1000,633.53,Posted
1/24/2023,Nationwide,Direct Deposit,2705.92,3339.45,Posted
1/25/2023,SoFi Rewards Redemption,Other,4.1,3193.55,Posted
1/25/2023,To Checking - 8930,Withdrawal,-100,3189.45,Posted
1/25/2023,To Checking - 8930,Withdrawal,-50,3289.45,Posted
1/26/2023,DISCOVER,Direct Payment,-2071.58,1121.97,Posted
1/31/2023,Interest earned,Interest Earned,5.02,1126.99,Posted
2/5/2023,To Checking - 8930,Withdrawal,-50,1026.99,Posted
2/5/2023,To Checking - 8930,Withdrawal,-50,1076.99,Posted
2/7/2023,Nationwide,Direct Deposit,1513.98,2540.97,Posted
2/8/2023,WELLS FARGO BANK NA,Deposit,500,3040.97,Posted
2/9/2023,DISCOVER,Direct Payment,-1995.21,1045.76,Posted
2/21/2023,Nationwide,Direct Deposit,1514.79,2360.55,Posted
2/21/2023,To Checking - 8930,Withdrawal,-100,845.76,Posted
2/21/2023,WELLS FARGO BANK NA,Withdrawal,-100,945.76,Posted
2/22/2023,WELLS FARGO BANK NA,Withdrawal,-650,1710.55,Posted
2/27/2023,FRANCHISE TAX BD,Deposit,284,562.16,Posted
2/27/2023,DISCOVER,Direct Payment,-1432.39,278.16,Posted
2/28/2023,Interest earned,Interest Earned,3.8,1439.96,Posted
2/28/2023,AZ DEPT OF REV,Deposit,874,1436.16,Posted
3/1/2023,To Checking - 8930,Withdrawal,-150,1289.96,Posted
3/2/2023,DISCOVER,Direct Payment,-1000,289.96,Posted
3/7/2023,Nationwide,Direct Deposit,1646.21,1936.17,Posted
3/9/2023,DISCOVER,Direct Payment,-1079.82,856.35,Posted
3/10/2023,WELLS FARGO BANK NA,Deposit,500,556.35,Posted
3/10/2023,To Checking - 8930,Withdrawal,-800,56.35,Posted
3/17/2023,To Checking - 8930,Withdrawal,-141.6,1114.75,Posted
3/17/2023,WELLS FARGO BANK NA,Deposit,700,1256.35,Posted
3/21/2023,Nationwide,Direct Deposit,2258.37,3373.12,Posted
3/22/2023,WELLS FARGO BANK NA,Withdrawal,-300,3073.12,Posted
3/23/2023,DISCOVER,Direct Payment,-1079.82,1993.3,Posted
3/24/2023,DISCOVER,Direct Payment,-1582.05,411.25,Posted
3/31/2023,Interest earned,Interest Earned,2.89,414.14,Posted
4/4/2023,Nationwide,Direct Deposit,2258.37,2672.51,Posted
4/5/2023,WELLS FARGO BANK NA,Deposit,300,3472.51,Posted
4/5/2023,WELLS FARGO BANK NA,Deposit,500,3172.51,Posted
4/6/2023,DISCOVER,Direct Payment,-2889.63,582.88,Posted
4/16/2023,From Checking - 8930,Deposit,100,682.88,Posted
4/17/2023,WELLS FARGO BANK NA,Withdrawal,-150,532.88,Posted
4/18/2023,Nationwide,Direct Deposit,2258.37,2791.25,Posted
4/19/2023,WELLS FARGO BANK NA,Withdrawal,-250,2541.25,Posted
4/20/2023,DISCOVER,Direct Payment,-1494.12,1047.13,Posted
4/26/2023,To Checking - 8930,Withdrawal,-50,997.13,Posted
4/28/2023,To Checking - 8930,Withdrawal,-200,797.13,Posted
4/30/2023,Interest earned,Interest Earned,3.31,800.44,Posted
5/2/2023,Nationwide,Direct Deposit,2258.37,3058.81,Posted
5/4/2023,DISCOVER,Direct Payment,-2069.29,989.52,Posted
5/10/2023,To Checking - 8930,Withdrawal,-30,959.52,Posted
5/16/2023,Nationwide,Direct Deposit,2258.37,3217.89,Posted
5/18/2023,DISCOVER,Direct Payment,-2729.82,488.07,Posted
5/20/2023,To Checking - 8930,Withdrawal,-325,163.07,Posted
5/30/2023,Nationwide,Direct Deposit,3050.57,3213.64,Posted
5/31/2023,Interest earned,Interest Earned,3.77,2527.41,Posted
5/31/2023,To Checking - 8930,Withdrawal,-690,2523.64,Posted
6/1/2023,DISCOVER,Direct Payment,-2432.53,94.88,Posted
6/13/2023,Nationwide,Direct Deposit,2258.37,2353.25,Posted
6/14/2023,WELLS FARGO BANK NA,Deposit,500,2853.25,Posted
6/15/2023,DISCOVER,Direct Payment,-2487.02,366.23,Posted
6/17/2023,To Checking - 8930,Withdrawal,-20,346.23,Posted
