
Plan name:,NATIONWIDE SAVINGS PLAN
Date Range,01/01/2023 - 07/22/2023,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
07/14/2023,2055 FUND,Contributions,"0.02","0.002"
06/02/2023,2055 FUND,Contributions,"71.57","6.363"
05/19/2023,2055 FUND,Contributions,"160.00","14.368"
05/11/2023,2055 FUND,RECORDKEEPING FEE,"-2.51","-0.227"
05/11/2023,2055 FUND,Change in Market Value,"0.11","0.000"
05/05/2023,2055 FUND,Contributions,"160.00","14.409"
04/21/2023,2055 FUND,Contributions,"160.00","14.401"
04/10/2023,2055 FUND,Contributions,"160.00","14.585"
03/24/2023,2055 FUND,Contributions,"160.00","15.009"
03/10/2023,2055 FUND,Contributions,"880.00","83.019"
02/27/2023,2055 FUND,RECORDKEEPING FEE,"-4.02","-0.371"
02/27/2023,2055 FUND,Change in Market Value,"0.10","0.000"
02/24/2023,2055 FUND,Contributions,"743.08","68.868"
02/10/2023,2055 FUND,Contributions,"743.08","67.308"
01/27/2023,2055 FUND,Contributions,"1,244.42","112.414"
01/13/2023,2055 FUND,Contributions,"672.31","61.736"
